filename,threshold,alpha,dimensions,ideal_predicted_r2_before_clipping,delta_rmse,clipped_rows,mean,std,min,max
lb_probe_v9_residual_refined_conservative_t30000_a050.csv,30000.0,0.5,5,0.4615039692212685,0.026385798928158694,7,34.429413831704736,15.21176534172205,0.0,99.0
lb_probe_v9_residual_refined_primary_t3000_a075.csv,3000.0,0.75,12,0.46152691706584736,0.09210101905800447,6,34.42675370798883,15.221461902905867,0.0,99.0
lb_probe_v9_residual_refined_full_t3000_a100.csv,3000.0,1.0,12,0.4615287115369039,0.122801358744006,6,34.42544698622426,15.227026462314164,0.0,99.0
